pph age;pph altitude;ac altitude;different relief ac pph;pph distance;PPH SEXE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE;AC ECOLE VOL LIBRE;AC 0 BI VOL LIBRE;AC TYPE VOL VOL LIBRE;AC SITE CONNAISSAE VOL LIBRE;AC TYPE AILE VOL LIBRE;AC SURFACE AILE;AC AILE HOMOLOGATION PARAPENTE;AC SELLETTE PROTECTION PARAPENTE;AC NOMBRE DE JOUR DEPUIS LE D2BUT DE l'ANNEE;AC HEURE;Saison;AC ETAT ASSURE
32;165;72;0;4;0;30;2;2;0;2;1;0;4;4;1;18;2;1;207;19;2;2
47;187;482;0;57;0;100;4;2;3;3;1;0;7;4;1;26;5;2;207;17;2;1
43;233;436;0;30;0;50;3;2;1;2;1;0;4;4;1;25;0;2;211;15;2;2
55;141;1246;1;285;0;1;4;2;2;2;1;0;4;3;1;28;3;2;211;18;2;1
58;33;135;0;236;1;20;4;3;3;2;1;0;4;4;1;26;2;2;213;14;2;1
55;1737;1330;0;13;0;50;4;3;3;3;1;0;5;3;1;18;3;1;216;10;2;2
30;220;1379;1;21;0;58;4;3;3;3;1;0;4;3;1;18;3;3;217;13;2;2
42;274;884;1;80;0;40;2;3;2;2;1;0;6;1;1;23;3;3;217;20;2;2
56;568;1851;1;129;0;60;4;2;3;3;1;0;4;0;1;25;0;2;221;12;2;2
43;270;586;0;144;0;50;4;3;0;2;1;0;5;2;1;19;3;2;213;16;2;1
57;168;109;0;149;1;34;3;2;1;1;1;0;4;3;1;20;2;3;221;18;2;0
33;1373;1373;0;0;0;100;3;4;0;1;1;0;5;2;1;26;3;3;218;10;2;2
57;31;970;1;306;0;80;4;4;0;2;1;0;4;1;1;28;2;2;228;18;2;2
69;629;598;0;53;0;120;4;3;2;3;1;0;6;4;1;25;3;3;212;14;2;2
19;477;483;0;12;0;20;1;3;0;1;1;0;1;3;1;25;2;3;228;17;2;2
63;385;385;0;0;0;20;4;3;2;3;1;0;4;3;1;25;0;2;229;16;2;1
25;1710;1710;0;0;0;200;4;3;3;3;1;1;4;3;2;39;3;2;244;15;3;0
33;450;293;0;479;1;0;2;4;0;0;1;0;4;3;1;23;2;3;251;18;3;1
76;243;243;0;0;0;60;4;3;0;2;1;0;4;4;1;24;2;3;257;16;3;2
46;1060;1060;0;0;1;84;4;2;3;3;1;0;6;3;1;21;3;3;258;17;3;1
30;1757;1757;0;0;0;50;2;3;1;2;1;0;5;3;1;24;3;2;257;12;3;1
71;1063;2038;0;436;0;3;4;4;3;3;1;0;5;3;1;26;3;2;264;10;3;2
62;57;16;0;20;0;80;4;3;3;3;1;0;4;3;1;24;-1;4;263;17;3;2
59;477;900;1;438;0;20;4;3;2;3;1;0;4;1;1;25;-1;2;265;14;3;2
57;1757;1757;0;0;0;20;1;3;0;1;1;0;4;4;1;17;3;1;263;12;3;0
56;54;784;0;19;0;0;1;4;0;1;1;0;4;1;1;25;2;2;282;11;3;2
27;1719;1719;0;0;0;80;4;2;3;3;1;0;4;3;1;25;-1;3;285;16;3;2
52;277;45;0;520;0;31;4;4;3;3;1;2;4;0;2;41;-1;2;294;20;3;0
53;913;1379;0;54;0;200;4;3;3;3;1;1;4;3;2;44;1;2;291;13;3;1
32;41;486;0;480;1;50;3;4;2;3;1;0;4;3;1;21;3;3;185;17;2;2
31;913;913;0;0;0;150;4;3;3;3;1;0;4;1;1;25;0;4;306;9;3;1
64;965;965;0;0;0;500;4;3;3;3;1;1;4;3;2;42;1;3;318;7;3;1
61;209;953;1;14;0;85;4;3;3;3;1;0;4;4;1;26;3;2;332;13;3;0
50;189;153;0;21;0;25;4;3;0;2;1;0;4;3;1;26;3;2;24;14;0;0
67;183;165;0;19;0;200;4;3;3;3;1;1;4;3;2;38;1;2;360;12;3;0
39;440;440;0;0;0;250;4;3;3;3;1;0;1;3;1;21;5;3;353;13;3;2
55;24;69;0;8764;0;0;1;3;0;0;1;0;4;1;1;26;2;3;9;10;0;2
21;1931;1279;0;18;0;0;1;2;1;1;1;0;5;2;1;22;2;2;353;10;3;2
50;913;1981;0;72;0;250;4;3;3;3;1;0;4;4;1;19;3;3;10;15;0;1
