;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE
912;62;200;4;4;3
913;43;50;4;3;3
914;37;0;1;3;0
915;32;2;1;3;0
916;44;200;4;3;3
917;33;60;4;2;3
918;29;450;3;3;3
919;52;100;4;3;3
920;62;50;4;2;3
921;60;200;4;3;3
922;44;0;3;3;2
923;69;50;4;3;3
924;40;20;4;2;2
925;62;20;4;2;2
926;30;200;4;3;3
927;51;15;4;3;3
928;68;50;4;3;1
929;58;80;2;4;0
930;63;20;4;3;0
931;59;100;4;3;3
932;61;50;4;4;1
933;36;110;4;2;3
934;42;0;2;2;1
935;55;45;4;2;2
936;62;12;4;3;1
937;43;100;4;3;3
938;54;40;4;4;2
939;49;100;4;3;3
940;63;50;4;3;1
941;60;15;3;2;0
942;29;100;4;4;0
943;51;250;4;3;3
944;24;300;4;3;3
945;61;60;4;2;2
946;73;170;4;3;2
947;28;30;4;3;2
948;47;50;4;3;3
949;25;90;4;3;3
950;41;150;4;3;3
951;59;100;4;3;3
952;59;20;4;2;2
953;61;70;3;4;2
954;48;0;4;3;3
955;42;40;4;2;3
956;68;100;4;3;3
957;21;160;4;3;3
958;65;52;4;3;3
959;43;40;4;2;3
960;73;100;4;4;3
961;37;30;2;3;1
962;69;90;4;2;2
963;53;60;4;2;3
964;40;60;4;2;3
965;26;150;4;3;3
966;57;150;4;2;3
967;63;40;4;2;2
968;47;200;4;3;3
969;33;20;2;3;1
970;76;150;4;3;0
971;52;250;4;3;3
972;66;220;4;3;3
973;48;160;4;3;3
974;44;239;4;2;3
975;55;50;2;2;0
976;56;10;3;3;0
977;24;130;4;3;3
978;52;350;4;3;3
979;51;30;4;2;3
980;31;100;4;3;3
981;38;2;4;4;2
982;72;15;3;3;2
983;76;50;4;3;2
984;68;40;3;3;1
985;49;70;4;2;2
986;36;20;4;4;0
987;70;120;4;2;3
988;44;80;4;3;3
989;63;15;4;2;3
990;45;50;4;2;2
991;52;100;4;3;2
992;57;300;4;3;3
993;61;67;4;3;3
994;71;10;4;3;2
995;51;0;1;3;1
996;75;35;4;3;3
997;55;152;4;3;3
998;52;150;4;3;3
999;59;500;4;3;3
1000;63;100;4;3;3
1001;62;150;4;3;3
1002;32;65;4;3;3
1003;52;150;4;3;3
1004;62;20;3;3;2
1005;43;0;4;3;3
1006;46;36;3;2;3
1007;30;10;3;2;2
1008;39;150;4;3;3
1009;70;100;4;2;3
1010;49;5;4;4;3
1011;53;200;4;3;3
1012;48;50;4;2;2
1013;64;120;4;3;3
1014;47;150;4;3;3
1015;65;40;4;4;2
1016;43;200;4;3;3
1017;47;180;4;3;3
1018;50;80;3;3;3
1019;34;200;4;3;3
1020;45;300;4;3;3
1021;66;50;4;3;3
1022;55;300;4;3;3
1023;60;0;4;2;2
1024;37;50;4;2;3
1025;30;200;4;3;3
1026;37;25;2;3;1
1027;57;150;4;2;3
1028;34;800;4;3;3
1029;68;30;4;3;2
1030;61;300;4;3;3
1031;43;40;3;3;3
1032;55;150;4;3;3
1033;24;250;4;3;3
1034;54;20;3;3;2
1035;47;150;4;3;3
1036;62;100;3;3;2
1037;30;10;3;2;2
1038;33;10;4;3;3
1039;49;0;2;2;0
1040;62;200;4;2;0
1041;51;500;4;3;3
1042;57;30;4;4;2
1043;40;100;4;3;3
1044;40;300;4;3;3
1045;53;15;1;4;1
1046;46;25;4;3;3
1047;51;50;4;2;3
1048;40;300;4;3;3
1049;33;100;2;3;0
1050;33;30;1;2;0
1051;53;200;4;3;3
1052;63;30;4;3;3
1053;73;0;4;4;1
1054;30;0;2;3;0
1055;47;50;3;2;2
1056;38;10;4;4;1
1057;70;22;3;3;2
1058;50;100;4;3;3
1059;53;100;4;3;3
1060;67;26;4;2;3
1061;58;40;3;2;2
1062;40;300;4;3;3
1063;42;200;4;3;3
1064;47;40;4;3;0
1065;36;150;4;3;3
1066;56;300;4;3;3
1067;61;30;4;2;0
1068;44;20;4;3;3
1069;47;200;4;3;3
1070;41;15;3;2;2
1071;43;100;4;3;3
1072;40;150;4;3;3
1073;25;90;4;3;3
1074;29;0;1;2;1
1075;42;15;3;3;2
1076;35;3;2;2;1
1077;58;40;4;3;3
1078;59;200;4;3;3
1079;38;50;3;2;1
1080;68;100;4;3;3
1081;66;40;4;2;3
1082;74;60;4;3;3
1083;49;50;4;3;3
1084;24;50;4;3;3
1085;69;30;4;3;3
1086;57;45;4;3;2
1087;36;30;4;4;2
1088;35;8;4;3;2
1089;62;59;4;2;2
1090;28;300;4;3;3
1091;44;70;4;3;3
1092;34;130;4;3;3
