;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE
583;46;5;4;4;3;3
584;40;30;4;2;3;3
585;26;10;2;2;2;2
586;22;15;2;2;0;2
587;54;30;4;3;3;3
588;27;750;4;3;3;3
589;32;100;4;3;0;3
590;26;150;4;3;3;3
591;37;30;4;2;3;3
592;42;100;3;3;2;2
593;48;200;4;3;3;3
594;55;370;4;3;3;3
595;40;300;4;3;3;3
596;31;0;1;3;0;1
597;38;40;2;4;1;1
598;41;10;4;4;3;3
599;54;26;4;4;2;2
600;37;110;3;3;3;3
601;45;300;4;3;3;3
602;63;20;4;4;3;3
603;58;100;4;3;3;3
604;45;200;4;3;3;3
605;57;110;4;2;3;3
606;35;200;4;3;3;3
607;50;250;4;4;3;3
608;47;200;4;4;3;3
609;55;200;4;2;3;3
610;33;1;3;2;1;2
611;71;50;4;2;3;3
612;60;50;3;3;3;2
613;52;8;4;4;2;1
614;34;50;3;3;0;1
615;24;60;4;3;3;3
616;58;10;3;4;0;1
617;55;16;3;2;2;2
618;49;0;2;4;1;1
619;44;0;4;2;3;3
620;39;40;3;2;3;3
621;63;500;4;3;3;3
622;28;20;2;3;0;2
623;52;17;2;3;1;2
624;33;150;4;3;3;3
625;43;100;4;3;3;3
626;62;80;4;3;3;3
627;56;50;3;3;2;3
628;49;20;4;2;3;3
629;55;30;4;2;2;2
630;51;250;4;3;3;3
631;48;30;4;3;3;3
632;63;40;4;3;3;3
633;39;200;4;2;0;2
634;46;80;4;3;3;3
635;35;40;4;2;2;3
636;43;50;3;3;3;3
637;72;100;4;3;3;3
638;65;60;4;3;3;3
639;26;15;1;2;1;2
640;56;9;2;3;0;1
641;55;40;4;4;3;3
642;57;45;4;3;2;2
643;40;50;4;2;2;3
644;44;30;4;2;3;3
645;21;12;3;4;2;1
646;59;40;3;3;1;2
647;64;100;4;3;3;3
648;33;30;2;2;0;1
649;65;15;4;3;2;2
650;69;20;4;2;2;3
651;71;70;4;3;3;3
652;28;40;4;3;2;3
653;39;0;4;4;1;2
654;51;25;4;4;2;2
655;34;200;4;3;3;3
656;45;50;4;2;3;3
657;59;20;4;2;3;3
658;30;15;1;2;0;1
659;36;40;4;3;3;3
660;32;90;3;2;2;2
661;59;100;3;2;2;2
662;37;10;4;2;1;2
663;30;45;3;2;1;2
664;66;100;4;4;3;2
665;54;40;3;3;2;2
666;49;50;4;2;1;1
667;42;2;4;4;0;2
668;34;200;3;3;3;3
669;58;30;4;3;3;3
670;24;0;2;3;0;3
671;45;150;4;4;3;3
672;67;50;4;2;1;2
673;25;20;1;3;1;1
674;37;200;3;2;3;3
675;39;15;3;2;1;1
676;34;200;4;4;3;3
677;26;5;2;3;1;1
678;38;40;2;4;0;0
679;65;81;4;3;3;3
680;34;300;4;3;3;3
681;63;50;4;4;2;2
682;73;35;4;3;2;2
683;29;200;4;3;3;3
684;53;30;4;4;3;3
685;32;30;2;3;1;2
686;23;0;1;2;0;0
687;78;15;4;4;2;2
688;58;12;4;2;2;2
689;41;15;4;2;0;2
690;47;200;4;3;3;3
691;69;50;4;4;3;3
692;53;220;4;3;3;3
693;39;400;4;3;3;3
694;62;90;4;3;3;3
695;64;30;4;3;3;3
696;64;30;4;2;2;2
697;41;130;4;2;3;3
698;33;52;2;2;1;1
699;46;0;3;4;1;1
700;59;60;4;3;3;3
701;48;250;4;2;3;3
702;46;0;4;4;3;3
703;29;250;4;3;3;3
704;53;200;4;3;3;0
705;63;80;4;4;2;3
706;48;20;1;2;0;1
707;32;0;2;4;0;1
708;36;15;1;2;1;1
709;38;40;1;2;0;1
710;42;20;3;2;1;2
711;36;200;4;3;3;3
712;44;200;4;3;3;3
713;33;147;4;3;3;3
714;58;40;3;2;2;3
715;31;250;4;3;3;3
716;57;20;3;2;0;2
717;64;28;4;4;1;2
718;54;85;2;2;0;1
719;39;20;3;3;2;2
720;39;25;3;2;2;2
721;31;50;3;2;0;2
722;61;30;4;3;0;1
723;38;200;4;3;3;3
724;60;250;2;3;2;2
725;49;120;4;3;3;3
726;28;600;3;3;3;3
727;69;60;4;2;3;3
728;59;10;3;4;2;2
729;69;80;4;2;3;3
730;30;100;3;2;1;2
731;45;70;4;2;3;3
732;45;20;4;3;3;3
733;37;50;4;3;3;3
734;67;392;4;3;3;3
735;24;150;3;3;3;3
736;55;30;4;4;2;3
737;61;10;4;4;2;2
738;47;9;4;2;3;3
739;47;50;4;3;3;3
740;38;35;3;4;2;3
741;53;51;4;2;2;2
742;58;60;4;3;3;3
743;48;30;4;4;3;3
744;53;40;4;2;2;2
745;29;200;4;3;3;3
746;44;10;1;3;1;1
747;17;80;3;2;3;3
748;32;200;3;3;3;3
749;31;130;4;3;3;3
750;35;187;3;3;3;3
751;66;50;2;3;0;2
752;29;25;4;3;0;2
753;38;18;4;4;2;2
754;54;15;4;3;1;2
755;32;30;3;2;2;2
756;29;30;2;3;0;2
757;35;20;3;4;1;1
758;41;50;3;3;1;2
759;38;20;1;2;1;1
760;33;10;3;4;1;2
761;25;20;1;2;1;1
762;30;200;4;3;3;3
763;23;350;4;3;3;3
764;48;120;3;3;1;2
765;40;20;4;2;3;3
766;52;50;3;3;2;3
767;33;400;4;3;3;3
768;38;40;3;3;0;2
769;51;90;4;3;3;3
770;54;80;4;3;0;0
771;24;100;3;3;3;3
772;46;20;3;3;2;2
773;27;10;3;3;0;2
774;58;20;3;3;0;1
775;34;25;3;2;2;2
776;30;100;4;3;3;3
777;26;0;1;4;0;1
778;20;10;1;2;1;1
